OBJECTID,Site_Description,Date_Sample_Collected,Result_Name,Result_Label
70,Mundoo Barrage Upstream,17/06/2025,Cyanodictyon,"51,000,000 Cells/L"
71,Mundoo Barrage Upstream,17/06/2025,Other Organisms,"1,850,000 Cells/L"
72,Mundoo Barrage Upstream,17/06/2025,Cyanocatena,"16,600,000 Cells/L"
73,Mundoo Barrage Upstream,17/06/2025,Aphanizomenon,"60,400,000 Cells/L"
74,Mundoo Barrage Upstream,17/06/2025,Phytoflagellates,"2,250,000 Cells/L"
75,Mundoo Barrage Upstream,17/06/2025,Merismopedia,"208,000,000 Cells/L"
76,Mundoo Barrage Upstream,17/06/2025,Aphanothece,"10,000,000 Cells/L"
77,Mundoo Barrage Upstream,17/06/2025,Cyanogranis,"327,000,000 Cells/L"
78,Mundoo Barrage Upstream,17/06/2025,Pseudanabaena,"194,000 Cells/L"
79,Mundoo Barrage Upstream,17/06/2025,Crucigenia,"800,000 Cells/L"
80,Mundoo Barrage Upstream,17/06/2025,Gymnodinium,"200,000 Cells/L"
81,Mundoo Barrage Upstream,17/06/2025,Cylindrospermopsis raciborskii,"21,300,000 Cells/L"
82,Mundoo Barrage Upstream,17/06/2025,Nodularia spumigena,"144,000 Cells/L"
83,Mundoo Barrage Upstream,17/06/2025,Oocystis,"1,100,000 Cells/L"
84,Mundoo Barrage Upstream,17/06/2025,Dolichospermum (straight small),"78,000 Cells/L"
85,Mundoo Barrage Upstream,17/06/2025,Monoraphidium,"1,120,000 Cells/L"
86,Mundoo Barrage Upstream,17/06/2025,Scenedesmus,"3,950,000 Cells/L"
87,Mundoo Barrage Upstream,11/06/2025,Diatoms - Total,"820,000 Cells/L"
88,Mundoo Barrage Upstream,11/06/2025,Toxin producing BGA - Total,"24,700,000 Cells/L"
89,Mundoo Barrage Upstream,11/06/2025,Green Algae - Total,"31,600,000 Cells/L"
90,Mundoo Barrage Upstream,11/06/2025,Algae - Total,"1,370,000,000 Cells/L"
91,Mundoo Barrage Upstream,11/06/2025,Geosmin-MIB producing BGA - Total,"28,000 Cells/L"
92,Mundoo Barrage Upstream,11/06/2025,Blue Green Algae - Total,"1,330,000,000 Cells/L"
93,Mundoo Barrage Upstream,11/06/2025,Scenedesmus,"8,450,000 Cells/L"
94,Mundoo Barrage Upstream,11/06/2025,Planctonema,"2,690,000 Cells/L"
95,Mundoo Barrage Upstream,11/06/2025,Cryptomonas,"30,000 Cells/L"
96,Mundoo Barrage Upstream,11/06/2025,Acanthoceras_(=Attheya),"350,000 Cells/L"
97,Mundoo Barrage Upstream,11/06/2025,Cyanocatena,"93,000,000 Cells/L"
98,Mundoo Barrage Upstream,11/06/2025,Planktolyngbya,"538,000,000 Cells/L"
99,Mundoo Barrage Upstream,11/06/2025,Nodularia spumigena,"80,000 Cells/L"
100,Mundoo Barrage Upstream,11/06/2025,Aphanizomenon,"25,900,000 Cells/L"
101,Mundoo Barrage Upstream,11/06/2025,Merismopedia,"344,000,000 Cells/L"
102,Mundoo Barrage Upstream,11/06/2025,Aphanocapsa,"267,000,000 Cells/L"
103,Mundoo Barrage Upstream,11/06/2025,Cylindrospermopsis raciborskii,"24,600,000 Cells/L"
104,Mundoo Barrage Upstream,11/06/2025,Pediastrum,"370,000 Cells/L"
105,Mundoo Barrage Upstream,11/06/2025,Nitzschia,"230,000 Cells/L"
106,Mundoo Barrage Upstream,11/06/2025,Kirchneriella,"500,000 Cells/L"
107,Mundoo Barrage Upstream,11/06/2025,Oocystis,"490,000 Cells/L"
108,Mundoo Barrage Upstream,11/06/2025,Cyclotella,"80,000 Cells/L"
109,Mundoo Barrage Upstream,11/06/2025,Phormidium,"28,000 Cells/L"
110,Mundoo Barrage Upstream,11/06/2025,Aulacoseira,"160,000 Cells/L"
111,Mundoo Barrage Upstream,11/06/2025,Dictyosphaerium,"470,000 Cells/L"
112,Mundoo Barrage Upstream,11/06/2025,Monoraphidium,"16,800,000 Cells/L"
113,Mundoo Barrage Upstream,11/06/2025,Other Organisms,"480,000 Cells/L"
114,Mundoo Barrage Upstream,11/06/2025,Tetrastrum,"720,000 Cells/L"
115,Mundoo Barrage Upstream,11/06/2025,Cyanodictyon,"40,000,000 Cells/L"
116,Mundoo Barrage Upstream,11/06/2025,Crucigenia,"1,080,000 Cells/L"
117,Mundoo Barrage Downstream,30/07/2025,Algae - Total,"304,000,000 Cells/L"
118,Mundoo Barrage Downstream,30/07/2025,Toxin producing BGA - Total,"34,000 Cells/L"
119,Mundoo Barrage Downstream,30/07/2025,Diatoms - Total,0 Cells/L
120,Mundoo Barrage Downstream,30/07/2025,Blue Green Algae - Total,"290,000,000 Cells/L"
121,Mundoo Barrage Downstream,30/07/2025,Green Algae - Total,"13,900,000 Cells/L"
122,Mundoo Barrage Downstream,30/07/2025,Geosmin-MIB producing BGA - Total,"48,000 Cells/L"
123,Mundoo Barrage Downstream,30/07/2025,Chroomonas,"167,000 Cells/L"
124,Mundoo Barrage Downstream,30/07/2025,Cryptomonas,"200,000 Cells/L"
125,Mundoo Barrage Downstream,30/07/2025,Other Organisms,"1,420,000 Cells/L"
126,Mundoo Barrage Downstream,30/07/2025,Cylindrospermopsis raciborskii,"34,000 Cells/L"
127,Mundoo Barrage Downstream,30/07/2025,Phytoflagellates small_spp,"10,400,000 Cells/L"
128,Mundoo Barrage Downstream,30/07/2025,Pseudanabaena,"48,000 Cells/L"
129,Mundoo Barrage Downstream,30/07/2025,Crucigenia,"500,000 Cells/L"
130,Mundoo Barrage Downstream,30/07/2025,Planctonema,"1,140,000 Cells/L"
131,Mundoo Barrage Downstream,30/07/2025,Romeria,"1,560,000 Cells/L"
132,Mundoo Barrage Downstream,30/07/2025,Planktolyngbya,"52,500,000 Cells/L"
